This is a backup of mpql’s ID list : https://mpql.net/tools/acnh/codes/item-list/
—————
Empty, FFFE
yellow star rug, 2FBE [Rug_12222] DIY: 03D7
Cinnamoroll rug, 3000 [Rug_12288]
Kerokerokeroppi rug, 3001 [Rug_12289]
Kiki & Lala rug, 3002 [Rug_12290]
Hello Kitty rug, 3003 [Rug_12291]
My Melody rug, 3004 [Rug_12292]
Pompompurin rug, 3005 [Rug_12293]
Nook Inc. botanical rug, 3025 [Rug_12325]
record rug, 3028 [Rug_12328]
green bamboo mat, 3029 [Rug_12329] DIY: 03D8
yellow bamboo mat, 302A [Rug_12330] DIY: 03D9
skull rug, 302E [Rug_12334]
acorn rug, 302F [Rug_12335] DIY: 0346
cherry-blossom rug, 303F [Rug_12351] DIY: 0347
bone entrance mat, 304B [Rug_12363]
tree-stump rug, 305B [Rug_12379] DIY: 03DA
white exercise mat, 3062 [Rug_12386]
blue exercise mat, 3063 [Rug_12387]
green exercise mat, 3064 [Rug_12388]
red exercise mat, 3065 [Rug_12389]
maple-leaf rug, 3066 [Rug_12390] DIY: 03D3
blue Hawaiian quilt rug, 3067 [Rug_12391]
green Hawaiian quilt rug, 3068 [Rug_12392]
pink Hawaiian quilt rug, 3069 [Rug_12393]
yellow Hawaiian quilt rug, 306A [Rug_12394]
imperial rug, 306B [Rug_12395]
Nook Inc. silk rug, 306C [Rug_12396]
light bamboo bath mat, 306F [Rug_12399] DIY: 03DB
dark bamboo bath mat, 3070 [Rug_12400] DIY: 03DC
blue wedding rug, 30AE [Rug_12462]
white wedding rug, 30B0 [Rug_12464]
red wedding rug, 30B1 [Rug_12465]
starry-skies rug, 30E9 [Rug_12521] DIY: 03DD
mermaid rug, 3113 [Rug_12563] DIY: 02D8
pirate rug, 3114 [Rug_12564]
stage rug, 31B5 [Rug_12725]
coconut mat, 3301 [Rug_13057]
simple entrance mat, 3302 [Rug_13058]
moon rug, 33E7 [Rug_13287]
Turkey Day rug, 34D5 [Rug_13525]
gray floor tiles, 34FE [Rug_13566]
light stones rug, 34FF [Rug_13567]
light square tile, 3500 [Rug_13568]
red brick rug, 3503 [Rug_13571]
frozen floor tiles, 3504 [Rug_13572] DIY: 0414
dark square tile, 3518 [Rug_13592]
natural-wood square tile, 3519 [Rug_13593]
dark stones rug, 351A [Rug_13594]
white square tile, 351B [Rug_13595]
sunflower rug, 351C [Rug_13596]
gray brick rug, 351D [Rug_13597]
light-wood flooring sheet, 3624 [Rug_13860]
light-wood flooring tile, 3625 [Rug_13861]
Yoshi's Egg rug, 3630 [Rug_13872]
Lakitu's Cloud rug, 3631 [Rug_13873]
glowing-moss rug, 3635 [Rug_13877] DIY: 0300
round glowing-moss rug, 3636 [Rug_13878] DIY: 0301
football rug, 3650 [Rug_13904]
round vine rug, 3652 [Rug_13906] DIY: 02FC
elegant brown rug, 36BC [Rug_14012]
white-wood flooring tile, 36D3 [Rug_14035]
dark-wood flooring tile, 36D4 [Rug_14036]
natural-wood flooring tile, 36D5 [Rug_14037]
white-wood flooring sheet, 36D6 [Rug_14038]
dark-wood flooring sheet, 36D7 [Rug_14039]
natural-wood flooring sheet, 36D8 [Rug_14040]
elegant beige rug, 3740 [Rug_14144]
elegant blue rug, 3741 [Rug_14145]
elegant black rug, 3742 [Rug_14146]
brown cow-print rug, 376F [Rug_14191]
light-brown cow-print rug, 37A5 [Rug_14245]
large Paradise Planning rug, 3972 [Rug_14706]
small Paradise Planning mat, 3973 [Rug_14707]
 
STR_ItemName_61_HouseDoorDeco
cosmos wreath, 10C5 [DoorDeco_04293] DIY: 00E3
snowflake wreath, 1117 [DoorDeco_04375] DIY: 00DE
shell wreath, 1118 [DoorDeco_04376] DIY: 00DB
ornament wreath, 1119 [DoorDeco_04377] DIY: 00E2
fruit wreath, 111A [DoorDeco_04378] DIY: 00DF
mushroom wreath, 1276 [DoorDeco_04726] DIY: 00DD
tree branch wreath, 1277 [DoorDeco_04727] DIY: 00E1
skull doorplate, 1282 [DoorDeco_04738]
bone doorplate, 128F [DoorDeco_04751] DIY: 01D3
iron doorplate, 1290 [DoorDeco_04752] DIY: 01D4
fish doorplate, 129C [DoorDeco_04764]
heart doorplate, 14BD [DoorDeco_05309]
spider doorplate, 14BE [DoorDeco_05310]
windflower wreath, 153C [DoorDeco_05436] DIY: 00E4
rose wreath, 153D [DoorDeco_05437] DIY: 00E5
pansy wreath, 155A [DoorDeco_05466] DIY: 00E6
mum wreath, 155B [DoorDeco_05467] DIY: 00E7
hyacinth wreath, 155C [DoorDeco_05468] DIY: 00E8
lily wreath, 1609 [DoorDeco_05641] DIY: 01B6
tulip wreath, 1626 [DoorDeco_05670] DIY: 0168
fancy lily wreath, 162D [DoorDeco_05677] DIY: 01C7
paw-print doorplate, 1654 [DoorDeco_05716] DIY: 01D2
crest doorplate, 1655 [DoorDeco_05717] DIY: 01D5
timber doorplate, 1656 [DoorDeco_05718] DIY: 01D1
fossil doorplate, 1657 [DoorDeco_05719] DIY: 01D0
pretty cosmos wreath, 1671 [DoorDeco_05745] DIY: 01BD
cool windflower wreath, 1672 [DoorDeco_05746] DIY: 01B9
fancy rose wreath, 1673 [DoorDeco_05747] DIY: 01C0
snazzy pansy wreath, 1674 [DoorDeco_05748] DIY: 01C3
fancy mum wreath, 1675 [DoorDeco_05749] DIY: 01BB
cool hyacinth wreath, 1676 [DoorDeco_05750] DIY: 01C5
pretty tulip wreath, 1677 [DoorDeco_05751] DIY: 0169
chic cosmos wreath, 1684 [DoorDeco_05764] DIY: 01BC
chic windflower wreath, 1685 [DoorDeco_05765] DIY: 01B8
dark rose wreath, 1686 [DoorDeco_05766] DIY: 01BE
cool pansy wreath, 1687 [DoorDeco_05767] DIY: 01C2
natural mum wreath, 1688 [DoorDeco_05768] DIY: 01BA
purple hyacinth wreath, 1689 [DoorDeco_05769] DIY: 01C4
dark lily wreath, 168A [DoorDeco_05770] DIY: 01C6
dark tulip wreath, 168B [DoorDeco_05771] DIY: 016A
blue rose wreath, 168C [DoorDeco_05772] DIY: 01BF
gold rose wreath, 16BC [DoorDeco_05820] DIY: 01C1
Bunny Day wreath, 30E5 [DoorDeco_12517] DIY: 02C3
festive wreath, 342D [DoorDeco_13357]
New Year's shimekazari, 34BD [DoorDeco_13501]
shamrock doorplate, 36CF [DoorDeco_14031]
Lunar New Year decoration, 36D0 [DoorDeco_14032]
glowing-moss wreath, 3783 [DoorDeco_14211] DIY: 03E2
Nook Inc. doorplate, 37AA [DoorDeco_14250]
ship-wheel door decoration, 3816 [DoorDeco_14358]
nuptial doorplate, 388B [DoorDeco_14475]
horseshoe door decoration, 38EA [DoorDeco_14570]
 
STR_ItemName_62_HousePost
ordinary mailbox, 0A0B [HousePost_02571]
square mailbox, 14DE [HousePost_05342]
wooden mailbox, 14DF [HousePost_05343]
large mailbox, 14E0 [HousePost_05344]
rustic mailbox, 16AA [HousePost_05802]
red ordinary mailbox, 21D5 [HousePost_08661]
pink ordinary mailbox, 21D6 [HousePost_08662]
yellow ordinary mailbox, 21D7 [HousePost_08663]
green ordinary mailbox, 21D8 [HousePost_08664]
blue ordinary mailbox, 21D9 [HousePost_08665]
white ordinary mailbox, 21DA [HousePost_08666]
black ordinary mailbox, 21DB [HousePost_08667]
red large mailbox, 21E0 [HousePost_08672]
pink large mailbox, 21E1 [HousePost_08673]
yellow large mailbox, 21E2 [HousePost_08674]
green large mailbox, 21E3 [HousePost_08675]
blue large mailbox, 21E4 [HousePost_08676]
white large mailbox, 21E5 [HousePost_08677]
black large mailbox, 21E6 [HousePost_08678]
red square mailbox, 227B [HousePost_08827]
pink square mailbox, 227C [HousePost_08828]
yellow square mailbox, 227D [HousePost_08829]
green square mailbox, 227E [HousePost_08830]
blue square mailbox, 227F [HousePost_08831]
white square mailbox, 2280 [HousePost_08832]
black square mailbox, 2281 [HousePost_08833]
chic wooden mailbox, 22C1 [HousePost_08897]
red wooden mailbox, 22C2 [HousePost_08898]
pink wooden mailbox, 22C3 [HousePost_08899]
yellow wooden mailbox, 22C4 [HousePost_08900]
green wooden mailbox, 22C5 [HousePost_08901]
blue wooden mailbox, 22C6 [HousePost_08902]
white wooden mailbox, 22C7 [HousePost_08903]
 
STR_ItemName_70_Craft
tree branch, 09C4 [CraftMaterial_02500]
bamboo piece, 09C5 [CraftMaterial_02501]
stone, 09C6 [Ore_02502]
gold nugget, 09C9 [Ore_02505]
iron nugget, 09CF [Ore_02511]
customization kit, 09D1 [CraftRemake_02513]
softwood, 0ACF [CraftMaterial_02767]
wood, 0AD0 [CraftMaterial_02768]
hardwood, 0AD1 [CraftMaterial_02769]
clay, 0C12 [Ore_03090]
snowflake, 0DD3 [SnowCrystal_03539]
large snowflake, 0DD4 [SnowCrystal_03540]
acorn, 165F [CraftMaterial_05727]
pine cone, 1660 [CraftMaterial_05728]
young spring bamboo, 1661 [CraftMaterial_05729]
red ornament, 1662 [CraftMaterial_05730]
blue ornament, 1663 [CraftMaterial_05731]
gold ornament, 1664 [CraftMaterial_05732]
cherry-blossom petal, 16E3 [Sakurapetal_05859]
star fragment, 175F [StarPiece_05983]
large star fragment, 1760 [StarPiece_05984]
Capricorn fragment, 1761 [StarPiece_05985]
Aquarius fragment, 1762 [StarPiece_05986]
Pisces fragment, 1763 [StarPiece_05987]
Aries fragment, 1764 [StarPiece_05988]
Taurus fragment, 1765 [StarPiece_05989]
Gemini fragment, 1766 [StarPiece_05990]
Cancer fragment, 1767 [StarPiece_05991]
Leo fragment, 1768 [StarPiece_05992]
Virgo fragment, 1769 [StarPiece_05993]
Libra fragment, 176A [StarPiece_05994]
Scorpius fragment, 176B [StarPiece_05995]
Sagittarius fragment, 176C [StarPiece_05996]
maple leaf, 1CCE [AutumnLeaf_07374]
customizable phone case kit, 2238 [CraftPhoneCase_08760]
pearl, 32A8 [CraftMaterial_12968]
Pocket Camp phone case, 347F [CraftPhoneCase_13439]
Paradise Planning case, 39E4 [CraftPhoneCase_14820]
 
STR_ItemName_80_Etc
grass-green folding fan, 0141 [SubToolSensu_00321]
bitter-orange folding fan, 0142 [SubToolSensu_00322]
sky-blue folding fan, 0143 [SubToolSensu_00323]
rainbow soft serve, 0144 [SubToolIcesoft_00324]
berry-vanilla soft serve, 0145 [SubToolIcesoft_00325]
matcha-vanilla soft serve, 0146 [SubToolIcesoft_00326]
chocolate soft serve, 0147 [SubToolIcesoft_00327]
matcha donut, 014C [SubToolDonut_00332]
strawberry donut, 014E [SubToolDonut_00334]
white-chocolate donut, 0151 [SubToolDonut_00337]
Pitfall Seed Recipe, 02EE [DummyDIYRecipe_00750]
pitfall seed, 0A12 [PitFallSeed_02578] DIY: 0108
ダミーDIYレシピ, 0A87 [DummyRecipe_02695]
tent, 0ABE [HousingKit_02750]
party popper, 0AC1 [PartyPopper_02753]
Blathers's tent marker, 0AC3 [HousingKit_02755]
shop construction kit, 0AC4 [HousingKit_02756]
's tent, 0AC5 [HousingKit_02757]
medicine, 0AD9 [Medicine_02777] DIY: 0237
wasp nest, 0CBF [Honeycomb_03263]
housing kit, 0D15 [HousingKit_03349]
empty can, 0D8A [Trash_03466]
boot, 0D8D [Trash_03469]
old tire, 0D8E [Trash_03470]
delivery box, 1095 [QuestWrapping_04245]
bridge marker kit, 10D6 [HousingKitBirdge_04310]
incline marker kit, 10D7 [HousingKit_04311]
bubble blower, 1122 [BlowBubble_04386]
tailors construction kit, 113B [HousingKit_04411]
present, 1180 [DummyPresentbox_04480]
fish bait, 11C5 [FishBait_04549] DIY: 00BF
delivery, 1225 [DummyCardboard_04645]
campsite construction kit, 142E [HousingKit_05166] DIY: 01CD
uchiwa fan, 14C7 [Uchiwa_05319]
ocarina, 14C8 [Ocarina_05320] DIY: 00DA
's kit, 14ED [HousingKit_05357]
moving kit, 14EE [HousingKit_05358]
tailors moving kit, 14EF [HousingKit_05359]
shop moving kit, 14F0 [HousingKit_05360]
museum moving kit, 14F1 [HousingKit_05361]
tambourine, 1536 [Tambourine_05430]
pan flute, 158D [Panflute_05517] DIY: 018E
DIY for Beginners, 15E3 [DummyRecipe_05603]
Test Your DIY Skills, 15E4 [DummyRecipe_05604]
Wildest Dreams DIY, 15E5 [DummyRecipe_05605]
light stick, 166D [StickLight_05741]
tweeter, 166E [Partyhorn_05742]
red sparkler, 166F [FierworkHand_05743]
pinwheel, 1670 [Windmill_05744]
message bottle, 16A1 [MessageBottle_05793]
plot 1 housing kit, 16C3 [HousingKitRcoQuest_05827]
plot 2 housing kit, 16C4 [HousingKitRcoQuest_05828]
plot 3 housing kit, 16C5 [HousingKitRcoQuest_05829]
Nook Miles Ticket, 16DB [MilePlaneTicket_05851]
campsite moving kit, 1AB9 [HousingKit_06841]
bridge construction kit, 1C2B [HousingKitBirdge_07211] DIY: 01CA
yellow wrapping paper, 1E03 [WrappingPaper_07683]
pink wrapping paper, 1E04 [WrappingPaper_07684]
orange wrapping paper, 1E05 [WrappingPaper_07685]
chartreuse wrapping paper, 1E06 [WrappingPaper_07686]
green wrapping paper, 1E07 [WrappingPaper_07687]
mint wrapping paper, 1E08 [WrappingPaper_07688]
light-blue wrapping paper, 1E09 [WrappingPaper_07689]
purple wrapping paper, 1E0A [WrappingPaper_07690]
navy wrapping paper, 1E0B [WrappingPaper_07691]
blue wrapping paper, 1E0C [WrappingPaper_07692]
white wrapping paper, 1E0D [WrappingPaper_07693]
red wrapping paper, 1E0E [WrappingPaper_07694]
gold wrapping paper, 1E0F [WrappingPaper_07695]
brown wrapping paper, 1E10 [WrappingPaper_07696]
gray wrapping paper, 1E11 [WrappingPaper_07697]
black wrapping paper, 1E12 [WrappingPaper_07698]
present, 1E13 [DummyWrapping_07699]
present, 1E14 [DummyWrapping_07700]
present, 1E15 [DummyWrapping_07701]
present, 1E16 [DummyWrapping_07702]
present, 1E17 [DummyWrapping_07703]
present, 1E18 [DummyWrapping_07704]
present, 1E19 [DummyWrapping_07705]
present, 1E1A [DummyWrapping_07706]
present, 1E1B [DummyWrapping_07707]
present, 1E1C [DummyWrapping_07708]
present, 1E1D [DummyWrapping_07709]
present, 1E1E [DummyWrapping_07710]
present, 1E1F [DummyWrapping_07711]
present, 1E20 [DummyWrapping_07712]
present, 1E21 [DummyWrapping_07713]
present, 1E22 [DummyWrapping_07714]
blue balloon, 1EBD [Balloon_07869]
stone path permit, 2245 [LicenseItem_08773]
brick path permit, 2246 [LicenseItem_08774]
dark dirt path permit, 2247 [LicenseItem_08775]
arched tile path permit, 2248 [LicenseItem_08776]
sand path permit, 2249 [LicenseItem_08777]
terra-cotta tile permit, 224A [LicenseItem_08778]
wooden path permit, 224B [LicenseItem_08779]
waterscaping permit, 224C [LicenseItem_08780]
cliff construction permit, 224D [LicenseItem_08781]
Vaulting Pole Recipe, 2356 [DummyDIYRecipe_09046]
Flimsy Shovel Recipe, 2357 [DummyDIYRecipe_09047]
Flimsy Watering Can Recipe, 2358 [DummyDIYRecipe_09048]
Top 8 Pop Hairstyles, 2359 [DummyHowtoBook_09049]
Top 8 Cool Hairstyles, 235A [DummyHowtoBook_09050]
Top 8 Stylish Hair Colors, 235B [DummyHowtoBook_09051]
Pocket Organization Guide, 235C [DummyHowtoBook_09052]
Pretty Good Tools Recipes, 2405 [DummyHowtoBook_09221]
Tool Ring: It's Essential!, 2590 [DummyHowtoBook_09616]
Nook Inc. uchiwa fan, 2622 [Uchiwa_09762]
custom design path permit, 262B [LicenseItem_09771]
Bell voucher, 26EC [MilePlaneTicket_09964]
Slingshot Recipe, 2845 [DummyDIYRecipe_10309]
Ultimate Pocket Stuffing, 2B84 [DummyHowtoBook_11140]
Custom Design Pro Editor, 2F99 [DummyHowtoBook_12185]
Flimsy Axe Recipe, 3006 [DummyDIYRecipe_12294]
Ladder Recipe, 3027 [DummyDIYRecipe_12327]
egg message bottle, 3100 [MessageBottle_12544]
blue sparkler, 32AE [FierworkHand_12974]
souvenir chocolates, 3330 [SouvenirChocolate_13104]
fountain firework, 3332 [FireworkM_13106]
used fountain firework, 3333 [Trash_13107]
red balloon, 3343 [Balloon_13123]
yellow balloon, 3344 [Balloon_13124]
green balloon, 3345 [Balloon_13125]
pink balloon, 3346 [Balloon_13126]
Nook Inc. handheld pennant, 3348 [HandheldPennant_13128]
Custom Design Pro Editor+, 338B [DummyHowtoBook_13195]
Dream Bell exchange ticket, 33AC [MilePlaneTicket_13228]
Body-Paint Costume Tips, 33C8 [DummyHowtoBook_13256]
Exploring New Eye Colors, 33C9 [DummyHowtoBook_13257]
transfer kit, 3422 [HousingKit_13346]
vine ladder set-up kit, 34D6 [SettingLadder_13526] DIY: 02F7
wooden ladder set-up kit, 34DA [SettingLadder_13530] DIY: 02F8
iron ladder set-up kit, 34DE [SettingLadder_13534] DIY: 02F9
Hip Reaction Collection, 352A [DummyHowtoBook_13610]
Top 6 Stylish Hairstyles, 35C6 [DummyHowtoBook_13766]
Cozy Turkey Day DIY, 35DB [DummyRecipe_13787]
festive wrapping paper, 35E0 [WrappingPaper_13792] DIY: 02EF
gift, 35E1 [DummyWrapping_13793]
sparkling cider, 360B [JuiceFuzzyapple_13835]
magic bag, 360C [BigbagPresent_13836]
someone's gift, 362D [QuestChristmasPresentbox_13869]
football cheer megaphone, 3659 [Megaphone_13913]
bean-tossing kit, 365A [SoySet_13914]
lucky red envelope, 3682 [Otoshidama_13954]
bokjumeoni lucky pouch, 3683 [Otoshidama_13955]
otoshidama envelope, 3684 [Otoshidama_13956]
maracas, 3686 [MaracasCarnival_13958]
flour, 36AA [CookingMaterial_13994] DIY: 0387
whole-wheat flour, 36AC [CookingMaterial_13996] DIY: 0389
sugar, 36AD [CookingMaterial_13997] DIY: 038A
brown sugar, 36AE [CookingMaterial_13998] DIY: 038B
fiery cheer megaphone, 36BD [Megaphone_14013]
starry cheer megaphone, 36BE [Megaphone_14014]
glittery cheer megaphone, 36BF [Megaphone_14015]
shamrock soda, 36CC [JuiceFuzzyapple_14028]
Viva Festivale Reaction Set, 36CE [DummyHowtoBook_14030]
lucky money, 36DA [DummyWrappingOtoshidama_14042]
sebaetdon, 36DB [DummyWrappingOtoshidama_14043]
otoshidama, 36DC [DummyWrappingOtoshidama_14044]
rock, 3738 [GardenEditList_14136]
hardwood-tree stump, 3739 [GardenEditList_14137]
cedar-tree stump, 373A [GardenEditList_14138]
coconut-tree stump, 373B [GardenEditList_14139]
cut bamboo, 373C [GardenEditList_14140]
decorated cedar tree, 373D [GardenEditList_14141]
Custom Designs Portal, 374E [DummyHowtoBook_14158]
flower-petal basket, 37CC [FlowerShower_14284]
chitose ame, 37CD [SubToolGeneric_14285]
handheld lantern, 384E [Lantern_14414]
golden ladder set-up kit, 3886 [SettingLadder_14470] DIY: 0333
colorful light stick, 38A8 [StickLightColorful_14504]
protein shake, 38CA [SubToolEatRemakeable_14538]
dumbbell, 38CB [SubToolRemakeable_14539]
Nook Inc. balloon, 38CC [Balloon_14540]
takeout coffee, 38CD [SubToolEatDrop_14541]
spooky treats basket, 38CE [Basket_14542] DIY: 03D6
gyroid fragment, 38D2 [GyroidScrap_14546]
peachy-pink folding fan, 3923 [SubToolSensu_14627]
boba milk tea, 3924 [Tapioca_14628]
plain cotton candy, 3925 [Candyfloss_14629]
chocolate frozen treat, 3927 [Icecandy_14631]
ramune-soda frozen treat, 3928 [Icecandy_14632]
orange frozen treat, 3929 [Icecandy_14633]
vanilla cone, 392B [SubToolIcecream_14635]
vanilla soft serve, 392C [SubToolIcesoft_14636]
canned orange juice, 392E [SubToolCan_14638]
pocketbook, 392F [SubToolRemakeable_14639]
pocket magazine, 3930 [SubToolRemakeable_14640]
chocolate donut, 3931 [SubToolDonut_14641]
duster, 3933 [SubToolGeneric_14643]
nice branch, 3934 [SubToolGeneric_14644] DIY: 040D
foxtail, 3935 [SubToolGeneric_14645] DIY: 040C
Be a Chef! DIY Recipes+, 3963 [DummyHowtoBook_14691]
Custom Designs Patterns+, 3964 [DummyHowtoBook_14692]
Pro Decorating License, 3965 [DummyHowtoBook_14693]
Custom Fencing in a Flash, 3966 [DummyHowtoBook_14694]
Pro Camera App, 3967 [DummyHowtoBook_14695]
ramune-soda-lemon cone, 398E [SubToolIcecream_14734]
boba coffee, 3996 [Tapioca_14742]
melon cotton candy, 3997 [Candyfloss_14743]
ramune-soda cotton candy, 3998 [Candyfloss_14744]
boba strawberry tea, 3999 [Tapioca_14745]
boba mango tea, 399A [Tapioca_14746]
boba green tea, 399B [Tapioca_14747]
strawberry cotton candy, 399C [Candyfloss_14748]
canned grape juice, 39B7 [SubToolCan_14775]
canned apple juice, 39B8 [SubToolCan_14776]
canned green tea, 39B9 [SubToolCan_14777]
canned tea, 39BA [SubToolCan_14778]
canned coffee, 39BB [SubToolCan_14779]
canned sports drink, 39BC [SubToolCan_14780]
canned soda, 39BD [SubToolCan_14781]
Island Life 101 Service, 39CC [DummyHowtoBook_14796]
Basic Cooking Recipes, 39DB [DummyRecipe_14811]
Turkey Day Recipes, 39E0 [DummyRecipe_14816]
New Reactions Notebook, 39EC [DummyHowtoBook_14828]
Top 4 Fab Hairstyles, 39ED [DummyHowtoBook_14829]
chocolate cone, 39F4 [SubToolIcecream_14836]
strawberry cone, 39F5 [SubToolIcecream_14837]
melon-cheesecake cone, 3A04 [SubToolIcecream_14852]
orange-mint cone, 3A05 [SubToolIcecream_14853]
Ladder Set-Up Kit Recipe, 3A0F [DummyDIYRecipe_14863]
delivery, 3A19 [DummyCardboard_14873]
Pro Construction License, 3A42 [DummyHowtoBook_14914]
 
STR_ItemName_81_Event
lost item, 0946 [LostQuest_02374]
lost item, 0947 [LostQuest_02375]
communicator part, 094D [JohnnyQuest_02381]
rusted part, 0955 [JohnnyQuestDust_02389]
treasure, 09F1 [TreasureQuest_02545]
What was this again?, 09F2 [TreasureQuestDust_02546]
birthday cupcake, 0ADB [BdayCupcake_02779]
じぶんのスマホ, 0C04 [SequenceOnly_03076]
メモ, 0C05 [SequenceOnly_03077]
red feather, 0DD5 [Feather_03541]
blue feather, 0DD6 [Feather_03542]
green feather, 0DD7 [Feather_03543]
purple feather, 0DD9 [Feather_03545]
rainbow feather, 0DDC [RainbowFeather_03548] DIY: 02F3
What was this again?, 1222 [LostQuestDust_04642]
What was this again?, 1223 [LostQuestDust_04643]
Wisp spirit piece, 125E [YutaroWisp_04702]
lost item, 1532 [LostQuest_05426]
What was this again?, 1533 [LostQuestDust_05427]
tailors ticket, 172C [TailorTicket_05932]
ちず, 17AA [SequenceOnly_06058]
, 1AEF [SequenceOnly_06895]
ー, 1AF0 [SequenceOnly_06896]
Saharah Ticket, 242D [RollanTicket_09261]
汎用布地, 2443 [SequenceOnly_09283]
デモ用たぬきマイルカード, 2FB4 [SequenceOnly_12212]
earth egg, 30DD [EasterEgg_12509]
stone egg, 30DE [EasterEgg_12510]
leaf egg, 30DF [EasterEgg_12511]
wood egg, 30E0 [EasterEgg_12512]
sky egg, 30E1 [EasterEgg_12513]
